,Time,action,Ren_Value,Blue,Red,dir,Yellow,Blue/Yellow,Red/Yellow,Frac_Value,Flag,HI_Value,BearWarning,BullWarning,OBV,VWAP,bullish_engulfing,bullish_harami,dark_cloud_cover,doji,doji_star,dragonfly_doji,gravestone_doji,hammer,hanging_man,morning_star,morning_star_doji,piercing_pattern,rain_drop,rain_drop_doji,shooting_star,star,Open,High,Low,Close,volume,complete,spread,returns,SMA_S,SMA_C,SMA_L,up_sma1,up_sma2,down_sma1,down_sma2,flat_sma1,flat_sma2,peak,crust,atr,buy_renko,sell_renko,neg_buy_renko,neg_sell_renko,buy_Frac,sell_Frac,neg_buy_Frac,neg_sell_Frac,hi_up,hi_down,t_dir
3659,2/15/2023 16:00,0,1.07052,0,1,1,0,0,0,1.06989,0,1.07237,0,1,224579,1.025281395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06752,1.06871,1.06666,1.06817,7760,1,0.00013,0.000589968,1.0681,1.067855,1.07006,0,0,0,1,0,1,0,0,0.001757143,0,1,0,0,0,0,0,0,0,0,1
3660,2/15/2023 17:00,0,1.07052,0,1,1,0,0,0,1.06989,0,1.07237,0,0,219168,1.025292533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06817,1.06817,1.06611,1.06664,5411,1,0.00013,-0.001433383,1.067492,1.067405,1.069660833,0,0,0,1,0,1,0,1,0.001829286,0,1,0,0,0,0,0,0,0,0,0
3661,2/15/2023 18:00,0,1.07052,0,1,1,0,0,0,1.06989,0,1.07237,0,1,223841,1.025302348,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06668,1.06775,1.06598,1.0675,4673,1,0.00014,0.000805945,1.067346,1.06707,1.069396667,0,0,0,1,0,1,0,0,0.001907857,0,1,0,0,0,0,0,0,0,0,1
3662,2/15/2023 19:00,0,1.07052,0,1,1,0,0,0,1.06989,0,1.06857,0,0,227566,1.025310265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06752,1.06857,1.06747,1.06803,3725,1,0.00013,0.000496364,1.067576,1.067765,1.069170833,0,0,1,0,0,1,0,0,0.001932143,0,1,0,0,0,0,0,0,0,0,1
3663,2/15/2023 20:00,0,1.07052,0,1,1,0,0,0,1.06598,2,1.06857,0,0,230423,1.025316467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06806,1.06897,1.06791,1.06896,2857,1,0.00013,0.000870383,1.06786,1.068495,1.0688875,0,0,1,0,0,1,0,0,0.001892143,0,1,0,0,0,0,1,0,0,0,1
3664,2/15/2023 21:00,0,1.07052,0,1,1,0,0,0,1.06598,0,1.06857,1,0,229000,1.02531954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06895,1.06908,1.06866,1.06872,1423,1,0.00015,-0.000224542,1.06797,1.06884,1.0685725,0,0,1,0,0,0,0,0,0.001785,0,1,0,0,0,0,0,0,0,1,0
3665,2/15/2023 22:00,0,1.07052,0,1,1,0,0,0,1.06598,0,1.06857,0,0,236095,1.025334921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06856,1.06885,1.06788,1.06869,7095,1,0.00037,-2.81E-05,1.06838,1.068705,1.068339167,1,0,0,0,1,0,0,0,0.001682143,0,0,0,1,0,0,0,0,0,0,0
3666,2/15/2023 23:00,0,1.07052,0,1,1,0,0,0,1.06598,0,1.06857,0,0,237819,1.025338674,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06877,1.06919,1.06851,1.06908,1724,1,0.00018,0.000364866,1.068696,1.068885,1.068176667,1,0,0,0,1,0,0,0,0.001635,0,0,0,1,0,0,0,0,0,0,1
3667,2/16/2023 0:00,0,1.07052,0,1,1,0,0,0,1.06598,0,1.06857,1,0,233870,1.025347221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0691,1.06949,1.06838,1.06886,3949,1,0.00016,-0.000205806,1.068862,1.06897,1.068108333,1,0,0,0,1,0,0,0,0.001587857,0,0,0,1,0,0,0,0,0,0,0
3668,2/16/2023 1:00,0,1.07052,0,1,1,0,0,0,1.06598,0,1.06857,0,0,238280,1.025357098,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06887,1.07073,1.0686,1.0704,4410,1,0.00016,0.00143975,1.06915,1.06963,1.068289167,1,0,0,0,1,0,0,0,0.001639286,0,0,0,1,0,0,0,0,0,0,1
